rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,year
57,2017-04-28,Guardians of the Galaxy Vol 2,200000000,389813101,869113101,146510104,PG-13,Action,4347,2017
58,2004-06-30,Spider-Man 2,200000000,373524485,794697557,88156227,PG-13,Adventure,4166,2004
59,2022-03-01,The Batman,200000000,369345583,767820302,134008624,PG-13,Action,4417,2022
60,2010-03-04,Alice in Wonderland,200000000,334191110,1025491110,116101023,PG,Adventure,3739,2010
61,2012-10-26,Skyfall,200000000,304360277,1110526981,88364714,PG-13,Action,3526,2012
62,2012-12-11,The Hobbit: An Unexpected Journey,200000000,303003568,1014938545,84617303,PG-13,Adventure,4100,2012
63,2013-06-21,Monsters University,200000000,268488329,743455810,82429469,G,Adventure,4004,2013
64,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,79110453,PG,Adventure,3912,2013
65,2014-05-21,X-Men: Days of Future Past,200000000,233921534,747862775,90823660,PG-13,Action,4001,2014
66,2014-04-16,The Amazing Spider-Man 2,200000000,202853933,708996336,91608337,PG-13,Action,4324,2014
67,2011-06-23,Cars 2,200000000,191450875,560155383,66135507,G,Adventure,4115,2011
68,2021-07-07,Black Widow,200000000,183651655,379751655,80366312,PG-13,Action,4275,2021
69,2019-07-31,Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706,60038950,PG-13,Action,4344,2019
70,2021-05-20,F9: The Fast Saga,200000000,173005945,721077945,70043165,PG-13,Action,4203,2021
71,2010-12-17,Tron: Legacy,200000000,172062763,399866199,44026211,PG,Adventure,3451,2010
72,2009-11-12,2012,200000000,166112167,757677748,65237614,PG-13,Action,3444,2009
73,2021-11-03,Eternals,200000000,164870264,402064929,71297219,PG-13,Action,4090,2021
74,2018-11-14,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,648455339,62163104,PG-13,Adventure,4163,2018
75,2009-05-21,Terminator Salvation,200000000,125322469,365491792,42558390,PG-13,Action,3602,2009
76,2022-06-15,Lightyear,200000000,118307188,218571346,50577961,PG,Adventure,4255,2022
77,2021-07-28,Jungle Cruise,200000000,116987516,210384144,35018731,PG-13,Adventure,4310,2021
78,2011-06-17,Green Lantern,200000000,116601172,219535492,53174303,PG-13,Action,3816,2011
79,2022-04-06,Fantastic Beasts: The Secrets of Dumbledore,200000000,95850844,404560146,42151256,PG-13,Adventure,4245,2022
80,2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,336359676,30095259,PG-13,Action,3646,2010
81,2019-06-05,Dark Phoenix,200000000,65845974,246356895,32828348,PG-13,Action,3721,2019
82,2020-02-28,Onward,200000000,61555145,133317030,39119861,PG,Adventure,4310,2020
83,2020-12-16,Wonder Woman 1984,200000000,46801036,166360232,16701957,PG-13,Action,2218,2020
87,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123794079,97852865,PG-13,Action,4107,2011
88,2017-06-02,The Mummy,195000000,80101125,409953905,31668375,PG-13,Adventure,4035,2017
89,2013-02-27,Jack the Giant Slayer,195000000,65187603,197687603,27202226,PG-13,Adventure,3525,2013
90,2015-04-01,Furious 7,190000000,353007020,1514553486,147187040,PG-13,Action,4022,2015
91,2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,70165559,PG-13,Adventure,3907,2013
92,2013-06-19,World War Z,190000000,202706711,531861650,66411834,PG-13,Action,3607,2013
93,2013-05-10,The Great Gatsby,190000000,144840419,353640419,50085184,PG-13,Drama,3550,2013
94,2009-11-06,Disney’s A Christmas Carol,190000000,137855863,315709697,30051075,PG,Drama,3683,2009
95,2013-07-11,Pacific Rim,190000000,101802906,411002906,37285325,PG-13,Action,3285,2013
96,2021-12-16,The Matrix Resurrections,190000000,37686805,156467817,10749011,R,Action,3552,2021
97,2015-11-25,The Good Dinosaur,187500000,123087120,333771037,39155217,PG,Adventure,3749,2015
98,2008-05-02,Iron Man,186000000,318604126,585171547,102118668,PG-13,Adventure,4154,2008
